SPASE_ResourceName,HelioDate_short_name,SPASE_AlternateName,HelioDate_long_name
Solar Orbiter Spacecraft,SolO,[''],Solar Orbiter
AeroCube-6 (AC6) CubeSat,AeroCube-6,[''],AeroCube-6 CubeSat
AeroCube-6A (AC6) CubeSat,AeroCube-6A,[''],AeroCube-6A CubeSat
AeroCube-6B (AC6) CubeSat,AeroCube-6B,[''],AeroCube-6B CubeSat
PUNCH Mission,PUNCH,[''],Polarimeter to Unify the Corona and Heliosphere
PUNCH-NFI,PUNCH NFI,[''],Polarimeter to Unify the Corona and Heliosphere Narrow Field Imager
PUNCH-WFI,PUNCH WFI,[''],Polarimeter to Unify the Corona and Heliosphere Wide Field Imager
PUNCH-WFI-1,PUNCH WFI 1,[''],Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 1
PUNCH-WFI-2,PUNCH WFI 2,[''],Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 2
PUNCH-WFI-3,PUNCH WFI 3,[''],Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 3
GOES 18,GOES 18,"['Geostationary Operational Environmental Satellite 18', '2022-021A', 'GOES T']",Geostationary Operational Environmental Satellite 18
GOES 19,GOES 19,"['Geostationary Operational Environmental Satellite 19', '2024-119A', 'GOES U']",Geostationary Operational Environmental Satellite 19
"GO-ABOVE the Geospace Observatory - Array for
   Broadband Observations of VLF/ELF Emissions","GO ABOVE the Geospace Observatory   Array for
   Broadband Observations of VLF ELF Emissions",[''],"GO-ABOVE the Geospace Observatory - Array for
   Broadband Observations of VLF/ELF Emissions"
ACE,ACE,"['Advanced Composition Explorer', '1997-045A', 'Explorer 71']",Advanced Composition Explorer
AE Spacecraft,AE,['Atmosphere Explorer Spacecraft'],Atmosphere Explorer
AE-C,AE C,"['1973-101A', 'Atmosphere Explorer-C', 'Explorer 51']",Atmosphere Explorer-C
AE-D,AE D,"['1975-096A', 'Explorer 54', 'Atmosphere Explorer-D']",Atmosphere Explorer-D
