SPASE_AlternateName,HelioData_long_name
[''],Solar Orbiter
[''],AeroCube-6 CubeSat
[''],AeroCube-6A CubeSat
[''],AeroCube-6B CubeSat
[''],Polarimeter to Unify the Corona and Heliosphere
[''],Polarimeter to Unify the Corona and Heliosphere Narrow Field Imager
[''],Polarimeter to Unify the Corona and Heliosphere Wide Field Imager
[''],Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 1
[''],Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 2
[''],Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 3
"['Geostationary Operational Environmental Satellite 18', '2022-021A', 'GOES T']",Geostationary Operational Environmental Satellite 18
"['Geostationary Operational Environmental Satellite 19', '2024-119A', 'GOES U']",Geostationary Operational Environmental Satellite 19
[''],"GO-ABOVE the Geospace Observatory - Array for
   Broadband Observations of VLF/ELF Emissions"
"['Advanced Composition Explorer', '1997-045A', 'Explorer 71']",Advanced Composition Explorer
['Atmosphere Explorer Spacecraft'],Atmosphere Explorer
"['1973-101A', 'Atmosphere Explorer-C', 'Explorer 51']",Atmosphere Explorer-C
"['1975-096A', 'Explorer 54', 'Atmosphere Explorer-D']",Atmosphere Explorer-D
"['1975-107A', 'Explorer 55', 'AE 5', 'Atmosphere Explorer-E']",Atmosphere Explorer-E
[''],Aeolus
"['1972-100A', 'Aeros 1']",Aeros-A
[''],AIM
['EXOS-D'],EXOS-D
"['1962-049A', 'Alouette-A']",Alouette-A
"['1965-098A', 'Alouette-B']",Alouette-B
[''],Advanced Modular Incoherent Scatter Radar (AMISR)
['AMPERE'],AMPERE
[''],Active Magnetospheric Particle Tracer Explorers
"['AMPTE/Charge Composition Explorer', 'CCE', 'Explorer 65']",AMPTE/Charge Composition Explorer
"['AMPTE/Ion Release Module', 'IRM']",AMPTE/Ion Release Module
"['AMPTE/United Kingdom Subsatellite', 'UKS']",AMPTE/United Kingdom Subsatellite
"['Intrepid', 'Apollo 12 LM/ALSEP', 'Apollo 12C', 'LEM 12', 'LM-6']",Apollo 12 LM/ALSEP
"['Antares', 'Apollo 14 LM/ALSEP', 'Apollo 14C', 'LEM 14', 'LM-8']",Apollo 14 LM/ALSEP
"['Apollo 15 LM/ALSEP', 'Apollo 15C', 'LEM 15', 'LM-10', 'Falcon', 'Rover 15']",Apollo 15 LM/ALSEP
[''],"Exploration of energization and Radiation in Geospace (ERG), now known as Arase"
[''],"Acceleration, Reconnection, Turbulence, Electrodynamics of the Moon’s Interaction with the Sun"
[''],BAS A80
[''],BAS A81
[''],BAS A84
[''],Halley Bay
[''],South Pole
"['1981-094A', 'Aureole 3', 'ARCAD 3', 'Oreol 3']",1981-094A
