SPASE_AlternateName,HelioData_long_name
['Solar Orbiter'],Solar Orbiter
['AeroCube-6 CubeSat'],AeroCube-6 CubeSat
['AeroCube-6A CubeSat'],AeroCube-6A CubeSat
['AeroCube-6B CubeSat'],AeroCube-6B CubeSat
['Polarimeter to Unify the Corona and Heliosphere'],Polarimeter to Unify the Corona and Heliosphere
['Polarimeter to Unify the Corona and Heliosphere Narrow Field Imager'],Polarimeter to Unify the Corona and Heliosphere Narrow Field Imager
['Polarimeter to Unify the Corona and Heliosphere Wide Field Imager'],Polarimeter to Unify the Corona and Heliosphere Wide Field Imager
['Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 1'],Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 1
['Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 2'],Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 2
['Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 3'],Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 3
"['Geostationary Operational Environmental Satellite 18', '2022-021A', 'GOES T']",Geostationary Operational Environmental Satellite 18
"['Geostationary Operational Environmental Satellite 19', '2024-119A', 'GOES U']",Geostationary Operational Environmental Satellite 19
['GO-ABOVE the Geospace Observatory - Array for\r\n   Broadband Observations of VLF/ELF Emissions'],"GO-ABOVE the Geospace Observatory - Array for
   Broadband Observations of VLF/ELF Emissions"
"['Advanced Composition Explorer', '1997-045A', 'Explorer 71']",Advanced Composition Explorer
"['Atmosphere Explorer', 'Atmosphere Explorer Spacecraft']",Atmosphere Explorer
"['Atmosphere Explorer-C', '1973-101A', 'Explorer 51']",Atmosphere Explorer-C
"['Atmosphere Explorer-D', '1975-096A', 'Explorer 54']",Atmosphere Explorer-D
"['Atmosphere Explorer-E', '1975-107A', 'Explorer 55', 'AE 5']",Atmosphere Explorer-E
['Aeolus'],Aeolus
"['Aeros-A', '1972-100A', 'Aeros 1']",Aeros-A
['AIM'],AIM
['EXOS-D'],EXOS-D
"['Alouette-A', '1962-049A']",Alouette-A
"['Alouette-B', '1965-098A']",Alouette-B
['Advanced Modular Incoherent Scatter Radar (AMISR)'],Advanced Modular Incoherent Scatter Radar (AMISR)
['AMPERE'],AMPERE
['Active Magnetospheric Particle Tracer Explorers'],Active Magnetospheric Particle Tracer Explorers
"['AMPTE/Charge Composition Explorer', 'CCE', 'Explorer 65']",AMPTE/Charge Composition Explorer
"['AMPTE/Ion Release Module', 'IRM']",AMPTE/Ion Release Module
"['AMPTE/United Kingdom Subsatellite', 'UKS']",AMPTE/United Kingdom Subsatellite
"['Apollo 12 LM/ALSEP', 'Intrepid', 'Apollo 12C', 'LEM 12', 'LM-6']",Apollo 12 LM/ALSEP
"['Apollo 14 LM/ALSEP', 'Antares', 'Apollo 14C', 'LEM 14', 'LM-8']",Apollo 14 LM/ALSEP
