SPASE_ResourceID,SPASE_ResourceName,HelioData_short_name
spase://ESA/Observatory/SolarOrbiter,SolO,Solar Orbiter Spacecraft
spase://NASA/Observatory/AeroCube-6,AeroCube-6,AeroCube-6 (AC6) CubeSat
spase://NASA/Observatory/AeroCube-6/A,AeroCube-6A,AeroCube-6A (AC6) CubeSat
spase://NASA/Observatory/AeroCube-6/B,AeroCube-6B,AeroCube-6B (AC6) CubeSat
spase://NASA/Observatory/PUNCH,PUNCH,PUNCH Mission
spase://NASA/Observatory/PUNCH/NFI,PUNCH NFI,PUNCH-NFI
spase://NASA/Observatory/PUNCH/WFI,PUNCH WFI,PUNCH-WFI
spase://NASA/Observatory/PUNCH/WFI/1,PUNCH WFI 1,PUNCH-WFI-1
spase://NASA/Observatory/PUNCH/WFI/2,PUNCH WFI 2,PUNCH-WFI-2
spase://NASA/Observatory/PUNCH/WFI/3,PUNCH WFI 3,PUNCH-WFI-3
spase://SMWG/Observatory/ABOVE,"GO ABOVE the Geospace Observatory   Array for
   Broadband Observations of VLF ELF Emissions","GO-ABOVE the Geospace Observatory - Array for
   Broadband Observations of VLF/ELF Emissions"
spase://SMWG/Observatory/AE,AE,AE Spacecraft
spase://SMWG/Observatory/AE-C,AE C,AE-C
spase://SMWG/Observatory/AE-D,AE D,AE-D
spase://SMWG/Observatory/AE-E,AE E,AE-E
spase://SMWG/Observatory/Aeros-A,Aeros A,Aeros-A
spase://SMWG/Observatory/AMPTE,AMPTE,AMPTE Mission
spase://SMWG/Observatory/AMPTE-CCE,AMPTE CCE,AMPTE/CCE
spase://SMWG/Observatory/AMPTE-IRM,AMPTE IRM,AMPTE/IRM
spase://SMWG/Observatory/AMPTE-UKS,AMPTE UKS,AMPTE/UKS
spase://SMWG/Observatory/Apollo12-LM,Apollo 12 Lunar Module ALSEP,Apollo 12 Lunar Module/ALSEP
spase://SMWG/Observatory/Apollo14-LM,Apollo 14 Lunar Module   ALSEP,Apollo 14 Lunar Module / ALSEP
spase://SMWG/Observatory/Apollo15-LM,Apollo 15 Lunar Module ALSEP,Apollo 15 Lunar Module/ALSEP
spase://SMWG/Observatory/Aureol3,Aureol,Aureol 3
spase://SMWG/Observatory/BepiColombo,BepiColombo,BepiColombo Spacecraft
spase://SMWG/Observatory/Cluster,Cluster,Cluster Mission
spase://SMWG/Observatory/CNOFS,CNOFS,Communication/Navigation Outage Forecasting System (C/NOFS)
spase://SMWG/Observatory/DE,DE,Dynamics Explorer Mission
spase://SMWG/Observatory/DMSP,DMSP,DMSP Series
spase://SMWG/Observatory/DMSP_5D-2,DMSP_5D 2,DMSP_5D-2
spase://SMWG/Observatory/DMSP_5D-2/F08,DMSP_5D 2 F08,DMSP_5D-2/F08
spase://SMWG/Observatory/DMSP_5D-2/F09,DMSP_5D 2 F09,DMSP_5D-2/F09
