SPASE_ResourceID,HelioData_short_name,SPASE_ResourceName,HelioData_long_name,SPASE_AlternateName
spase://ESA/Observatory/SolarOrbiter,SolO,Solar Orbiter Spacecraft,Solar Orbiter,['']
spase://NASA/Observatory/AeroCube-6,AeroCube-6,AeroCube-6 (AC6) CubeSat,AeroCube-6 CubeSat,['']
spase://NASA/Observatory/AeroCube-6/A,AeroCube-6A,AeroCube-6A (AC6) CubeSat,AeroCube-6A CubeSat,['']
spase://NASA/Observatory/AeroCube-6/B,AeroCube-6B,AeroCube-6B (AC6) CubeSat,AeroCube-6B CubeSat,['']
spase://NASA/Observatory/PUNCH,PUNCH,PUNCH Mission,Polarimeter to Unify the Corona and Heliosphere,['']
spase://NASA/Observatory/PUNCH/NFI,PUNCH NFI,PUNCH-NFI,Polarimeter to Unify the Corona and Heliosphere Narrow Field Imager,['']
spase://NASA/Observatory/PUNCH/WFI,PUNCH WFI,PUNCH-WFI,Polarimeter to Unify the Corona and Heliosphere Wide Field Imager,['']
spase://NASA/Observatory/PUNCH/WFI/1,PUNCH WFI 1,PUNCH-WFI-1,Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 1,['']
spase://NASA/Observatory/PUNCH/WFI/2,PUNCH WFI 2,PUNCH-WFI-2,Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 2,['']
spase://NASA/Observatory/PUNCH/WFI/3,PUNCH WFI 3,PUNCH-WFI-3,Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 3,['']
spase://NOAA/Observatory/GOES/18,GOES 18,GOES 18,Geostationary Operational Environmental Satellite 18,"['Geostationary Operational Environmental Satellite 18', '2022-021A', 'GOES T']"
spase://NOAA/Observatory/GOES/19,GOES 19,GOES 19,Geostationary Operational Environmental Satellite 19,"['Geostationary Operational Environmental Satellite 19', '2024-119A', 'GOES U']"
spase://SMWG/Observatory/ABOVE,"GO ABOVE the Geospace Observatory   Array for
   Broadband Observations of VLF ELF Emissions","GO-ABOVE the Geospace Observatory - Array for
   Broadband Observations of VLF/ELF Emissions","GO-ABOVE the Geospace Observatory - Array for
   Broadband Observations of VLF/ELF Emissions",['']
spase://SMWG/Observatory/ACE,ACE,ACE,Advanced Composition Explorer,"['Advanced Composition Explorer', '1997-045A', 'Explorer 71']"
spase://SMWG/Observatory/AE,AE,AE Spacecraft,Atmosphere Explorer,['Atmosphere Explorer Spacecraft']
spase://SMWG/Observatory/AE-C,AE C,AE-C,Atmosphere Explorer-C,"['1973-101A', 'Atmosphere Explorer-C', 'Explorer 51']"
spase://SMWG/Observatory/AE-D,AE D,AE-D,Atmosphere Explorer-D,"['1975-096A', 'Explorer 54', 'Atmosphere Explorer-D']"
spase://SMWG/Observatory/AE-E,AE E,AE-E,Atmosphere Explorer-E,"['1975-107A', 'Explorer 55', 'AE 5', 'Atmosphere Explorer-E']"
spase://SMWG/Observatory/AEOLUS,Aeolus,Aeolus,Aeolus,['']
spase://SMWG/Observatory/Aeros-A,Aeros A,Aeros-A,Aeros-A,"['1972-100A', 'Aeros 1']"
spase://SMWG/Observatory/AIM,AIM,AIM,AIM,['']
spase://SMWG/Observatory/Akebono,AKEBONO,AKEBONO,EXOS-D,['EXOS-D']
