ResourceID,hcut_id,short_name,long_name
spase://ESA/Observatory/SolarOrbiter,SolarOrbiter,SolO,Solar Orbiter
spase://NASA/Observatory/AeroCube-6,AeroCube-6,AeroCube-6,AeroCube-6 CubeSat
spase://NASA/Observatory/AeroCube-6/A,AeroCube-6_A,AeroCube-6A,AeroCube-6A CubeSat
spase://NASA/Observatory/AeroCube-6/B,AeroCube-6_B,AeroCube-6B,AeroCube-6B CubeSat
spase://NASA/Observatory/PUNCH,PUNCH,PUNCH,Polarimeter to Unify the Corona and Heliosphere
spase://NASA/Observatory/PUNCH/NFI,PUNCH_NFI,PUNCH NFI,Polarimeter to Unify the Corona and Heliosphere Narrow Field Imager
spase://NASA/Observatory/PUNCH/WFI,PUNCH_WFI,PUNCH WFI,Polarimeter to Unify the Corona and Heliosphere Wide Field Imager
spase://NASA/Observatory/PUNCH/WFI/1,PUNCH_WFI_1,PUNCH WFI 1,Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 1
spase://NASA/Observatory/PUNCH/WFI/2,PUNCH_WFI_2,PUNCH WFI 2,Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 2
spase://NASA/Observatory/PUNCH/WFI/3,PUNCH_WFI_3,PUNCH WFI 3,Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 3
spase://NOAA/Observatory/GOES/18,GOES_18,GOES 18,Geostationary Operational Environmental Satellite 18
spase://NOAA/Observatory/GOES/19,GOES_19,GOES 19,Geostationary Operational Environmental Satellite 19
spase://SMWG/Observatory/ABOVE,ABOVE,"GO ABOVE the Geospace Observatory   Array for
   Broadband Observations of VLF ELF Emissions","GO-ABOVE the Geospace Observatory - Array for
   Broadband Observations of VLF/ELF Emissions"
spase://SMWG/Observatory/ACE,ACE,ACE,Advanced Composition Explorer
spase://SMWG/Observatory/AE,AE,AE,Atmosphere Explorer
spase://SMWG/Observatory/AE-C,AE-C,AE C,Atmosphere Explorer-C
spase://SMWG/Observatory/AE-D,AE-D,AE D,Atmosphere Explorer-D
spase://SMWG/Observatory/AE-E,AE-E,AE E,Atmosphere Explorer-E
spase://SMWG/Observatory/AEOLUS,AEOLUS,Aeolus,Aeolus
spase://SMWG/Observatory/Aeros-A,Aeros-A,Aeros A,Aeros-A
spase://SMWG/Observatory/AIM,AIM,AIM,AIM
spase://SMWG/Observatory/Akebono,Akebono,AKEBONO,EXOS-D
spase://SMWG/Observatory/Alouette1,Alouette1,Alouette 1,Alouette-A
spase://SMWG/Observatory/Alouette2,Alouette2,Alouette 2,Alouette-B
spase://SMWG/Observatory/AMISR,AMISR,Advanced Modular Incoherent Scatter Radar (AMISR),Advanced Modular Incoherent Scatter Radar (AMISR)
spase://SMWG/Observatory/AMPERE,AMPERE,Active Magnetosphere and Planetary Electrodynamics Response Experiment,AMPERE
spase://SMWG/Observatory/AMPTE,AMPTE,AMPTE,Active Magnetospheric Particle Tracer Explorers
spase://SMWG/Observatory/AMPTE-CCE,AMPTE-CCE,AMPTE CCE,AMPTE/Charge Composition Explorer
spase://SMWG/Observatory/AMPTE-IRM,AMPTE-IRM,AMPTE IRM,AMPTE/Ion Release Module
spase://SMWG/Observatory/AMPTE-UKS,AMPTE-UKS,AMPTE UKS,AMPTE/United Kingdom Subsatellite
spase://SMWG/Observatory/Apollo12-LM,Apollo12-LM,Apollo 12 Lunar Module ALSEP,Apollo 12 LM/ALSEP
spase://SMWG/Observatory/Apollo14-LM,Apollo14-LM,Apollo 14 Lunar Module   ALSEP,Apollo 14 LM/ALSEP
spase://SMWG/Observatory/Apollo15-LM,Apollo15-LM,Apollo 15 Lunar Module ALSEP,Apollo 15 LM/ALSEP
spase://SMWG/Observatory/ARASE,ARASE,"Exploration of energization and Radiation in Geospace (ERG), now known as Arase","Exploration of energization and Radiation in Geospace (ERG), now known as Arase"
spase://SMWG/Observatory/ARTEMIS,ARTEMIS,ARTEMIS,"Acceleration, Reconnection, Turbulence, Electrodynamics of the Moon’s Interaction with the Sun"
spase://SMWG/Observatory/AUGSBURG/BAS.A80,AUGSBURG_BAS.A80,BAS A80,BAS A80
spase://SMWG/Observatory/AUGSBURG/BAS.A81,AUGSBURG_BAS.A81,BAS A81,BAS A81
spase://SMWG/Observatory/AUGSBURG/BAS.A84,AUGSBURG_BAS.A84,BAS A84,BAS A84
spase://SMWG/Observatory/AUGSBURG/Halley.Bay,AUGSBURG_Halley.Bay,Halley Bay,Halley Bay
spase://SMWG/Observatory/AUGSBURG/South.Pole,AUGSBURG_South.Pole,South Pole,South Pole
spase://SMWG/Observatory/Aureol3,Aureol3,Aureol,1981-094A
spase://SMWG/Observatory/AUTUMN,AUTUMN,AUTUMN,Athabasca University THEMIS UCLA Magnetometer Network
spase://SMWG/Observatory/AWESOME,AWESOME,AWESOME,"Atmospheric Weather Electromagnetic System for Observation, Modeling, and Education"
spase://SMWG/Observatory/BARREL,BARREL,BARREL,Balloon Array for Radiation-belt Relativistic Electron Losses
spase://SMWG/Observatory/BARREL/1A,BARREL_1A,BARREL Balloon 1A,BARREL Balloon 1A
spase://SMWG/Observatory/BARREL/1B,BARREL_1B,BARREL Balloon 1B,BARREL Balloon 1B
spase://SMWG/Observatory/BARREL/1C,BARREL_1C,BARREL Balloon 1C,BARREL Balloon 1C
spase://SMWG/Observatory/BARREL/1D,BARREL_1D,BARREL Balloon 1D,BARREL Balloon 1D
spase://SMWG/Observatory/BARREL/1G,BARREL_1G,BARREL Balloon 1G,BARREL Balloon 1G
spase://SMWG/Observatory/BARREL/1H,BARREL_1H,BARREL Balloon 1H,BARREL Balloon 1H
spase://SMWG/Observatory/BARREL/1I,BARREL_1I,BARREL Balloon 1I,BARREL Balloon 1I
spase://SMWG/Observatory/BARREL/1J,BARREL_1J,BARREL Balloon 1J,BARREL Balloon 1J
spase://SMWG/Observatory/BARREL/1K,BARREL_1K,BARREL Balloon 1K,BARREL Balloon 1K
spase://SMWG/Observatory/BARREL/1M,BARREL_1M,BARREL Balloon 1M,BARREL Balloon 1M
spase://SMWG/Observatory/BARREL/1N,BARREL_1N,BARREL Balloon 1N,BARREL Balloon 1N
spase://SMWG/Observatory/BARREL/1O,BARREL_1O,BARREL Balloon 1O,BARREL Balloon 1O
spase://SMWG/Observatory/BARREL/1Q,BARREL_1Q,BARREL Balloon 1Q,BARREL Balloon 1Q
spase://SMWG/Observatory/BARREL/1R,BARREL_1R,BARREL Balloon 1R,BARREL Balloon 1R
spase://SMWG/Observatory/BARREL/1S,BARREL_1S,BARREL Balloon 1S,BARREL Balloon 1S
spase://SMWG/Observatory/BARREL/1T,BARREL_1T,BARREL Balloon 1T,BARREL Balloon 1T
spase://SMWG/Observatory/BARREL/1U,BARREL_1U,BARREL Balloon 1U,BARREL Balloon 1U
spase://SMWG/Observatory/BARREL/1V,BARREL_1V,BARREL Balloon 1V,BARREL Balloon 1V
spase://SMWG/Observatory/BARREL/2A,BARREL_2A,BARREL Balloon 2A,BARREL Balloon 2A
spase://SMWG/Observatory/BARREL/2B,BARREL_2B,BARREL Balloon 2B,BARREL Balloon 2B
spase://SMWG/Observatory/BARREL/2C,BARREL_2C,BARREL Balloon 2C,BARREL Balloon 2C
spase://SMWG/Observatory/BARREL/2D,BARREL_2D,BARREL Balloon 2D,BARREL Balloon 2D
spase://SMWG/Observatory/BARREL/2E,BARREL_2E,BARREL Balloon 2E,BARREL Balloon 2E
spase://SMWG/Observatory/BARREL/2F,BARREL_2F,BARREL Balloon 2F,BARREL Balloon 2F
spase://SMWG/Observatory/BARREL/2I,BARREL_2I,BARREL Balloon 2I,BARREL Balloon 2I
spase://SMWG/Observatory/BARREL/2K,BARREL_2K,BARREL Balloon 2K,BARREL Balloon 2K
spase://SMWG/Observatory/BARREL/2L,BARREL_2L,BARREL Balloon 2L,BARREL Balloon 2L
spase://SMWG/Observatory/BARREL/2M,BARREL_2M,BARREL Balloon 2M,BARREL Balloon 2M
spase://SMWG/Observatory/BARREL/2N,BARREL_2N,BARREL Balloon 2N,BARREL Balloon 2N
spase://SMWG/Observatory/BARREL/2O,BARREL_2O,BARREL Balloon 2O,BARREL Balloon 2O
spase://SMWG/Observatory/BARREL/2P,BARREL_2P,BARREL Balloon 2P,BARREL Balloon 2P
spase://SMWG/Observatory/BARREL/2Q,BARREL_2Q,BARREL Balloon 2Q,BARREL Balloon 2Q
spase://SMWG/Observatory/BARREL/2T,BARREL_2T,BARREL Balloon 2T,BARREL Balloon 2T
spase://SMWG/Observatory/BARREL/2W,BARREL_2W,BARREL Balloon 2W,BARREL Balloon 2W
spase://SMWG/Observatory/BARREL/2X,BARREL_2X,BARREL Balloon 2X,BARREL Balloon 2X
spase://SMWG/Observatory/BARREL/2Y,BARREL_2Y,BARREL Balloon 2Y,BARREL Balloon 2Y
spase://SMWG/Observatory/BARREL/3A,BARREL_3A,BARREL Balloon 3A,BARREL Balloon 3A
