HelioData_long_name,SPASE_AlternateName
[''],Solar Orbiter
[''],AeroCube-6 CubeSat
[''],AeroCube-6A CubeSat
[''],AeroCube-6B CubeSat
[''],Polarimeter to Unify the Corona and Heliosphere
[''],Polarimeter to Unify the Corona and Heliosphere Narrow Field Imager
[''],Polarimeter to Unify the Corona and Heliosphere Wide Field Imager
[''],Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 1
[''],Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 2
[''],Polarimeter to Unify the Corona and Heliosphere Wide-Field Imager 3
[''],"GO-ABOVE the Geospace Observatory - Array for
   Broadband Observations of VLF/ELF Emissions"
[''],Aeolus
"['1972-100A', 'Aeros 1']",Aeros-A
[''],AIM
[''],Advanced Modular Incoherent Scatter Radar (AMISR)
[''],Active Magnetospheric Particle Tracer Explorers
[''],"Exploration of energization and Radiation in Geospace (ERG), now known as Arase"
[''],"Acceleration, Reconnection, Turbulence, Electrodynamics of the Moon’s Interaction with the Sun"
[''],BAS A80
[''],BAS A81
[''],BAS A84
[''],Halley Bay
[''],South Pole
[''],Balloon Array for Radiation-belt Relativistic Electron Losses
[''],BARREL Balloon 1A
[''],BARREL Balloon 1B
[''],BARREL Balloon 1C
[''],BARREL Balloon 1D
[''],BARREL Balloon 1G
[''],BARREL Balloon 1H
[''],BARREL Balloon 1I
[''],BARREL Balloon 1J
[''],BARREL Balloon 1K
[''],BARREL Balloon 1M
[''],BARREL Balloon 1N
[''],BARREL Balloon 1O
[''],BARREL Balloon 1Q
[''],BARREL Balloon 1R
[''],BARREL Balloon 1S
[''],BARREL Balloon 1T
[''],BARREL Balloon 1U
[''],BARREL Balloon 1V
[''],BARREL Balloon 2A
[''],BARREL Balloon 2B
[''],BARREL Balloon 2C
[''],BARREL Balloon 2D
[''],BARREL Balloon 2E
[''],BARREL Balloon 2F
[''],BARREL Balloon 2I
[''],BARREL Balloon 2K
[''],BARREL Balloon 2L
[''],BARREL Balloon 2M
[''],BARREL Balloon 2N
[''],BARREL Balloon 2O
[''],BARREL Balloon 2P
[''],BARREL Balloon 2Q
[''],BARREL Balloon 2T
[''],BARREL Balloon 2W
[''],BARREL Balloon 2X
[''],BARREL Balloon 2Y
[''],BARREL Balloon 3A
[''],BARREL Balloon 3B
[''],BARREL Balloon 3C
[''],BARREL Balloon 3D
[''],BARREL Balloon 3E
[''],BARREL Balloon 3F
[''],BARREL Balloon 3G
[''],BARREL Balloon 4A
[''],BARREL Balloon 4B
[''],BARREL Balloon 4C
[''],BARREL Balloon 4D
[''],BARREL Balloon 4E
[''],BARREL Balloon 4F
[''],BARREL Balloon 4G
[''],BARREL Balloon 4H
[''],BARREL Balloon 5A
